Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Junior high school,1-2yr,Stationwagen,Below 1yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,31-50,3,,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
31-50,Male,Junior high school,No Licence,Automobile,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Other,Serious Injury
Over 51,Male,Elementary school,5-10yr,Lorry (41?100Q),,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Snow,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Serious Injury
Under 18,Male,Unknown,5-10yr,Stationwagen,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,3,2,Going straight,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
Unknown,Female,Junior high school,Above 10yr,Pick up upto 10Q,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,Junior high school,2-5yr,Other,,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Overspeed,Serious Injury
18-30,Male,Junior high school,5-10yr,,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
18-30,Male,Junior high school,5-10yr,,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Unknown,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overspeed,Serious Injury
18-30,Male,Above high school,1-2yr,Automobile,Unknown,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,,Normal,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
Unknown,Female,Junior high school,1-2yr,,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
18-30,Male,Junior high school,Below 1yr,Public (12 seats),Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Junior high school,2-5yr,Pick up upto 10Q,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,2-5yr,Motorcycle,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Daylight,Snow,Collision with pedestrians,3,2,Going straight,Passenger,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,1-2yr,Stationwagen,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Under 18,Male,Junior high school,Above 10yr,Public (12 seats),5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,5-10yr,Lorry (11?40Q),Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Rollover,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Collision with pedestrians,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
31-50,Male,Junior high school,2-5yr,,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,2,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Under 18,Male,Junior high school,Below 1yr,Long lorry,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with animals,2,1,Going straight,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Elementary school,2-5yr,Automobile,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Snow,Darkness - lights lit,Fog or mist,Rollover,2,1,Going straight,Driver or rider,Male,Over 51,3,,Normal,Not a Pedestrian,Overtaking,Slight Injury
Unknown,Female,,,Lorry (11?40Q),,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Junior high school,1-2yr,Other,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Elementary school,Below 1yr,Long lorry,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,3,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Elementary school,5-10yr,Other,,No defect, Industrial areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Under 18,Male,Junior high school,1-2yr,Public (> 45 seats),,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
Unknown,Male,Above high school,1-2yr,Automobile,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with animals,4,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Male,Junior high school,Above 10yr,Long lorry,,No defect, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with animals,4,1,Going straight,Driver or rider,Male,31-50,3,Student,Normal,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,1-2yr,Long lorry,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Fall from vehicles,2,2,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Under 18,Male,Elementary school,2-5yr,Lorry (41?100Q),,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Over 51,Male,Junior high school,2-5yr,Automobile,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,High school,5-10yr,Bajaj,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Unknown,Female,Elementary school,5-10yr,,2-5yrs,,Other,,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,High school,1-2yr,Automobile,Unknown,, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Unknown,Male,Junior high school,5-10yr,Bajaj,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Unknown,Male,Junior high school,1-2yr,Stationwagen,,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
31-50,Male,Junior high school,1-2yr,Automobile,Unknown,No defect,School areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,5-10yr,Public (> 45 seats),,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Collision with pedestrians,4,2,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Male,Junior high school,5-10yr,Automobile,,,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
31-50,Male,Junior high school,Below 1yr,Long lorry,Unknown,No defect,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,1-2yr,Automobile,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,2,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
18-30,Male,,,Lorry (41?100Q),,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Unknown,Female,High school,5-10yr,Lorry (41?100Q),,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Elementary school,,Automobile,,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,5-10yr,,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Elementary school,5-10yr,Taxi,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Unemployed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Male,Junior high school,2-5yr,Automobile,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
Under 18,Male,Junior high school,1-2yr,Lorry (11?40Q),Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Windy,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury
18-30,Male,Elementary school,5-10yr,Public (13?45 seats),,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Unknown,Male,Junior high school,2-5yr,Other,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,3,3,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,2-5yr,Other,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Rollover,3,4,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,1-2yr,Automobile,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Unknown,Male,Junior high school,2-5yr,Motorcycle,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Writing & reading,2-5yr,Other,,No defect,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Over 51,Male,,,Automobile,,,Office areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,2,3,Going straight,Passenger,Male,5,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,1-2yr,Public (13?45 seats),,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Above high school,1-2yr,Automobile,1-2yr,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,1-2yr,Automobile,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Over 51,Male,Junior high school,Above 10yr,Pick up upto 10Q,1-2yr,,Other,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,2-5yr,Stationwagen,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
31-50,Male,High school,2-5yr,Taxi,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Snow,Collision with roadside objects,2,2,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Over 51,Male,Junior high school,5-10yr,Public (> 45 seats),Unknown,No defect,School areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,Under 18,3,,Normal,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,High school,2-5yr,,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Above 10yr,Automobile,Unknown,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,,1-2yr,Lorry (41?100Q),Unknown,,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Junior high school,2-5yr,Public (> 45 seats),2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,Above high school,No Licence,Long lorry,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,,,Lorry (11?40Q),,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Unemployed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,1-2yr,Automobile,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,,Asphalt roads,Dry,Darkness - lights lit,Windy,Rollover,1,1,Going straight,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Elementary school,2-5yr,Lorry (41?100Q),Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Snow,Darkness - lights lit,Other,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Junior high school,5-10yr,Automobile,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Other,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Junior high school,5-10yr,Automobile,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Darkness - lights lit,Other,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,2-5yr,,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,5-10yr,Automobile,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Unknown,Male,Junior high school,1-2yr,Public (12 seats),Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,2,3,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Elementary school,Above 10yr,Lorry (41?100Q),Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
31-50,Male,Elementary school,1-2yr,Automobile,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,3,Going straight,Passenger,Female,5,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Elementary school,2-5yr,Automobile,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,,,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Fatal injury
18-30,Male,Junior high school,5-10yr,Public (13?45 seats),,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Driving carelessly,Slight Injury
31-50,Male,High school,5-10yr,Automobile,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,,,,,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,2,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Above 10yr,Public (> 45 seats),5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Above 10yr,Public (13?45 seats),Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights unlit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Over 51,Male,Junior high school,Below 1yr,Turbo,Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,3,3,Going straight,Passenger,Female,31-50,3,Student,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,High school,Above 10yr,Stationwagen,,No defect,,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,1,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
